expat_id,previous_company,plan_end_date,reason_left_previous,reason_chose_ratha,had_ratha_before,premium_savings_percent,onboarding_speed_advantage_days,india_coverage_interest,acquisition_cost_estimated,lifetime_value_projected
EXP592255,Allianz,2026-08-10 18:34:22.946434,Limited coverage options,Faster onboarding,False,24.2,8,False,55.69,2550.03
EXP515029,IMG Global,2026-08-18 18:34:22.946464,Limited coverage options,Better affordability,False,21.0,4,True,56.9,2772.14
EXP737306,CHUBB,2026-08-03 18:34:22.946482,No India coverage,Better customer support,False,16.5,4,True,97.65,2319.77
EXP548893,Allianz,2026-08-09 18:34:22.946496,Poor customer service,India-USA coordination,False,27.6,5,False,106.7,2642.52
EXP395078,ICICI Lombard,2026-06-30 18:34:22.946508,No India coverage,Simpler process,False,18.6,7,True,186.76,3427.42
EXP238394,ICICI Lombard,2026-07-24 18:34:22.946520,High premium,India-USA coordination,False,23.0,8,False,177.79,2212.78
EXP703948,IMG Global,2026-07-23 18:34:22.946530,Limited coverage options,Faster onboarding,False,34.2,9,True,136.15,4013.46
EXP139367,IMG Global,2026-07-08 18:34:22.946541,High premium,India-USA coordination,False,31.2,7,False,50.41,1526.71
EXP205633,Allianz,2026-08-18 18:34:22.946551,Poor customer service,Simpler process,False,30.6,9,False,188.99,4292.54
EXP857194,IMG Global,2026-07-15 18:34:22.946561,Complex onboarding,India-USA coordination,False,28.5,10,False,145.21,4848.54
EXP861860,CHUBB,2026-07-05 18:34:22.946571,No India coverage,Comprehensive expat coverage,False,19.7,4,True,65.34,1740.34
EXP537251,ICICI Lombard,2026-08-02 18:34:22.946582,Limited coverage options,Comprehensive expat coverage,False,29.1,4,True,163.68,4874.96
EXP889540,Allianz,2026-08-10 18:34:22.946593,Limited coverage options,Faster onboarding,False,23.0,10,True,91.04,4281.4
EXP556463,IMG Global,2026-07-21 18:34:22.946604,Slow claims processing,Better affordability,False,18.9,5,True,64.56,3888.75
