expat_id,origin_country,visa_type,us_state,switched_from,previous_monthly_premium,ratha_monthly_premium,premium_savings_percent,coverage_types,india_coverage_enabled,onboarding_days,competitor_onboarding_days,switched_date,satisfaction_score,monthly_retention_rate
EXP129829,India,L1,CA,IMG Global,108.46,81.31,25.0,Auto,True,3,7,2026-08-06 12:14:15.480828,7,98.2
EXP901667,India,B1,GA,HDFC ERGO,104.82,79.07,24.6,Health,True,2,7,2026-07-26 12:14:15.480869,10,98.6
EXP857021,India,F1,IL,HDFC ERGO,80.92,60.24,25.6,Auto,True,3,14,2026-08-10 12:14:15.480896,9,97.9
EXP165948,India,L1,TX,HDFC ERGO,135.14,106.63,21.1,Renter,True,1,9,2026-06-14 12:14:15.480918,9,97.6
EXP808061,India,L1,CA,AIG,112.17,85.52,23.8,Auto,True,2,12,2026-06-13 12:14:15.480939,10,99.1
EXP991979,India,B1,GA,IMG Global,77.97,51.31,34.2,Renter,False,3,14,2026-07-24 12:14:15.480958,9,98.0
EXP994128,India,E2,CO,HDFC ERGO,147.52,107.68,27.0,Auto,True,3,10,2026-06-06 12:14:15.480975,10,97.9
EXP877921,India,B1,GA,Allianz,101.6,74.3,26.9,Auto+Health,True,2,10,2026-08-13 12:14:15.480992,8,99.5
EXP671966,India,E2,PA,IMG Global,81.45,64.86,20.4,Health,True,3,7,2026-08-23 12:14:15.481008,10,97.9
EXP708720,India,L1,PA,AIG,114.6,81.89,28.5,Auto,True,3,13,2026-08-13 12:14:15.481024,8,98.5
EXP406657,India,B1,FL,AIG,122.17,80.9,33.8,Auto+Health,False,3,10,2026-06-26 12:14:15.481040,7,99.0
EXP439964,India,B1,IL,CHUBB,102.67,79.39,22.7,Auto,True,3,11,2026-08-15 12:14:15.481062,9,97.6
EXP886848,India,H1B,IL,CHUBB,82.94,63.44,23.5,Health,True,2,11,2026-06-30 12:14:15.481082,8,97.4
EXP363348,India,E2,TX,IMG Global,106.41,76.49,28.1,Auto,True,2,10,2026-07-08 12:14:15.481099,7,98.7
EXP728971,India,E2,GA,IMG Global,75.51,56.18,25.6,Auto+Health,True,3,12,2026-07-08 12:14:15.481116,9,98.9
EXP507276,India,L1,FL,CHUBB,104.9,81.16,22.6,Auto+Health,False,2,13,2026-06-27 12:14:15.481133,10,97.9
EXP935437,India,B1,CO,IMG Global,127.69,98.78,22.6,Health,True,1,10,2026-06-13 12:14:15.481150,8,98.3
EXP664257,India,H1B,GA,IMG Global,115.99,81.39,29.8,Renter,True,2,8,2026-08-09 12:14:15.481168,7,98.2
EXP854309,India,F1,FL,ICICI Lombard,109.26,82.36,24.6,Auto,True,2,10,2026-06-09 12:14:15.481185,10,97.8
EXP318472,India,L1,CO,Allianz,134.29,101.89,24.1,Health,True,3,8,2026-08-21 12:14:15.481201,9,97.9
EXP221198,India,B1,GA,CHUBB,118.16,92.71,21.5,Renter,True,3,7,2026-07-11 12:14:15.481218,8,98.6
EXP541209,India,E2,PA,ICICI Lombard,75.79,55.57,26.7,Health,True,3,12,2026-06-17 12:14:15.481235,7,98.2
EXP668995,India,L1,WA,AIG,88.85,59.11,33.5,Auto+Health,True,2,7,2026-07-24 12:14:15.481252,10,99.1
EXP186101,India,E2,IL,CHUBB,102.25,80.9,20.9,Renter,True,1,10,2026-05-30 12:14:15.481269,7,98.3
EXP519144,India,F1,CA,CHUBB,80.05,57.53,28.1,Auto+Health,True,3,9,2026-08-01 12:14:15.481286,8,98.9
EXP271957,India,B1,NY,IMG Global,113.05,83.68,26.0,Auto+Health,True,1,11,2026-06-19 12:14:15.481304,8,98.1
EXP733363,India,L1,MA,ICICI Lombard,116.46,81.69,29.9,Auto+Health,True,3,14,2026-07-17 12:14:15.481321,8,98.8
EXP700408,India,H1B,CA,HDFC ERGO,79.42,57.87,27.1,Auto+Health,True,1,11,2026-05-29 12:14:15.481342,10,98.6
